Meter,Distance (km),Turning Radius (m),Average Speed (km/h)
0,0.0,12.940142370025363,200.0
1,0.001,12.936718473141912,200.0
2,0.002,9.024020139262529,200.0
3,0.003,8.60098334142496,200.0
4,0.004,9.868822525652217,200.0
5,0.005,6.814944919662142,200.0
6,0.006,8.535521043110762,200.0
7,0.007,13.08893141270184,200.0
8,0.008,6.354628685332965,200.0
9,0.009,13.62116642147782,200.0
10,0.01,12.524404610878586,200.0
11,0.011,5.570121820426392,200.0
12,0.012,11.409625932687595,200.0
13,0.013,10.199997855310446,200.0
14,0.014,5.326499236284894,200.0
15,0.015,12.88209082131256,200.0
16,0.016,14.602738898381903,200.0
17,0.017,12.427707839761826,200.0
18,0.018,10.590971661491103,200.0
19,0.019,12.089663525271668,200.0
20,0.02,8.263045976632894,200.0
21,0.021,10.473673859373115,200.0
22,0.022,14.576286694017874,200.0
23,0.023,11.29416571248095,200.0
24,0.024,11.366062987812633,200.0
25,0.025,7.910711821916411,200.0
26,0.026,8.526237883611907,200.0
27,0.027,7.408575529653685,200.0
28,0.028,5.656884752865015,200.0
29,0.029,5.682222893017901,200.0
30,0.03,12.144073710280917,200.0
31,0.031,14.996467642492524,200.0
32,0.032,7.7830869017482,200.0
33,0.033,6.339757121018042,200.0
34,0.034,14.319262407000172,200.0
35,0.035,13.94774356592491,200.0
36,0.036,10.984437060311507,200.0
37,0.037,13.400105314544701,200.0
38,0.038,12.10686139283807,200.0
39,0.039,9.011864842940147,200.0
40,0.04,8.714897974209732,200.0
41,0.041,11.633839113108658,200.0
42,0.042,5.074559608115741,200.0
43,0.043,14.90514734854342,200.0
44,0.044,7.652227301494491,200.0
45,0.045,9.582715112116585,200.0
46,0.046,7.418935998416254,200.0
47,0.047,13.123841326835727,200.0
48,0.048,6.4074227520398335,200.0
49,0.049,6.510371562883468,200.0
50,0.05,7.546573765669693,200.0
51,0.051,9.331811416664772,200.0
52,0.052,5.882840700577389,200.0
53,0.053,6.106885397449055,200.0
54,0.054,10.888041465011856,200.0
55,0.055,8.186412336930234,200.0
56,0.056,7.228640871094275,200.0
57,0.057,13.991096249780202,200.0
58,0.058,11.943961071342267,200.0
59,0.059,11.53256020359888,200.0
60,0.06,11.661909835272922,200.0
61,0.061,12.05079284607049,200.0
62,0.062,13.181666370792959,200.0
63,0.063,8.812394140951564,200.0
64,0.064,6.132378737839938,200.0
65,0.065,11.289686330639269,200.0
66,0.066,14.841194007001455,200.0
67,0.067,10.429980802639475,200.0
68,0.068,10.324356296485877,200.0
69,0.069,7.035678655884926,200.0
70,0.07,11.290089861029363,200.0
71,0.071,5.696750082325686,200.0
72,0.072,11.3802611654584,200.0
73,0.073,5.719848526316875,200.0
74,0.074,7.34033899427943,200.0
75,0.075,6.050174127133413,200.0
76,0.076,11.12234119025653,200.0
77,0.077,8.261756648262198,200.0
78,0.078,10.014277003740556,200.0
79,0.079,10.210681498843712,200.0
80,0.08,6.716538383553172,200.0
81,0.081,6.943939459398822,200.0
82,0.082,5.082316072810979,200.0
83,0.083,8.4044180224391,200.0
84,0.084,11.491961710268821,200.0
85,0.085,9.254530383387863,200.0
86,0.086,7.695585493531517,200.0
87,0.087,6.127430988305377,200.0
88,0.088,13.594800080201331,200.0
89,0.089,10.066574409509254,200.0
90,0.09,5.236120523936204,200.0
91,0.091,6.130464951048021,200.0
92,0.092,11.432696975328101,200.0
93,0.093,13.632642359295673,200.0
94,0.094,10.262681114433825,200.0
95,0.095,8.237266477412856,200.0
96,0.096,8.524405542551026,200.0
97,0.097,13.922981846106445,200.0
98,0.098,6.065234175063507,200.0
99,0.099,10.27549875791415,200.0
100,0.1,12.891992002527408,200.0
101,0.101,6.72521754990815,200.0
102,0.102,7.911010783606348,200.0
103,0.103,8.960211059911002,200.0
104,0.104,14.200912533892517,200.0
105,0.105,8.150381713246293,200.0
106,0.106,12.972069975270378,200.0
107,0.107,7.183182128012271,200.0
108,0.108,11.250959905358968,200.0
109,0.109,7.308718555684839,200.0
110,0.11,14.260917584562192,200.0
111,0.111,9.652031909467684,200.0
112,0.112,10.023582100252284,200.0
113,0.113,6.363382878851835,200.0
114,0.114,14.456205348020694,200.0
115,0.115,11.462433733599287,200.0
116,0.116,8.64001980406873,200.0
117,0.117,6.667309435306717,200.0
118,0.118,5.02812805535204,200.0
119,0.119,14.162145315086129,200.0
120,0.12,12.011732246621834,200.0
121,0.121,11.384399598964134,200.0
122,0.122,6.504467206097876,200.0
123,0.123,5.880291476364797,200.0
124,0.124,14.314451101494763,200.0
125,0.125,5.902713696834486,200.0
126,0.126,9.01772647874687,200.0
127,0.127,6.435246638644951,200.0
128,0.128,9.84888132705472,200.0
129,0.129,9.080237318362403,200.0
130,0.13,12.931780272959976,200.0
131,0.131,9.053951804586545,200.0
132,0.132,9.990413454521736,200.0
133,0.133,14.032973123858959,200.0
134,0.134,10.813104546327672,200.0
135,0.135,10.823002282752748,200.0
136,0.136,13.699641479421814,200.0
137,0.137,9.136136494138226,200.0
138,0.138,5.928172954469444,200.0
139,0.139,12.852425082129734,200.0
140,0.14,11.582344545624782,200.0
141,0.141,14.164208618787546,200.0
142,0.142,8.29049724018815,200.0
143,0.143,8.636844191289109,200.0
144,0.144,13.64361889534216,200.0
145,0.145,9.834525242819723,200.0
146,0.146,9.378982800104483,200.0
147,0.147,9.934005021369291,200.0
148,0.148,5.14772483031416,200.0
149,0.149,14.273575593083475,200.0
150,0.15,8.300312994791547,200.0
151,0.151,11.756382875409823,200.0
152,0.152,6.976079774401781,200.0
153,0.153,14.0702692041513,200.0
154,0.154,6.660537318171317,200.0
155,0.155,6.386975310062132,200.0
156,0.156,10.683406097211435,200.0
157,0.157,5.554808029515172,200.0
158,0.158,7.856533331263118,200.0
159,0.159,8.884811328483224,200.0
160,0.16,13.74519359988603,200.0
161,0.161,12.640794534072707,200.0
162,0.162,12.12248584032924,200.0
163,0.163,6.296611832254473,200.0
164,0.164,8.151845364715285,200.0
165,0.165,7.8961659525498975,200.0
166,0.166,10.446318476572412,200.0
167,0.167,8.647514051271205,200.0
168,0.168,6.203440672065153,200.0
169,0.169,8.798355499059447,200.0
170,0.17,9.289781917264706,200.0
171,0.171,14.219515822385079,200.0
172,0.172,9.409993520247788,200.0
173,0.173,9.218520449626606,200.0
174,0.174,10.881899981189983,200.0
175,0.175,13.246936654688422,200.0
176,0.176,13.263829245323766,200.0
177,0.177,9.957740055676759,200.0
178,0.178,7.413725541208796,200.0
179,0.179,12.451268287396456,200.0
180,0.18,5.571915740357375,200.0
181,0.181,10.436207542285363,200.0
182,0.182,7.616988061322873,200.0
183,0.183,14.65287933273543,200.0
184,0.184,11.099969362694182,200.0
185,0.185,10.60929401878235,200.0
186,0.186,13.101925618445225,200.0
187,0.187,6.334707700823815,200.0
188,0.188,5.781060763743183,200.0
189,0.189,13.362770946971569,200.0
190,0.19,9.104950108049032,200.0
