driver_id,race_id,lap_number,reaction_time,braking_points,acceleration_points,cornering_speed,overall_performance_rating
1,1,1,0.25,15,9,131.16,6.08
1,1,2,0.36,11,9,141.2,1.59
1,1,3,0.47,11,15,127.9,7.96
1,1,4,0.94,8,11,86.13,4.1
1,1,5,0.96,10,9,85.78,6.78
1,1,6,0.71,11,11,84.5,6.21
1,1,7,0.21,1,6,114.04,2.12
1,1,8,0.9,17,12,73.5,1.17
1,1,9,0.85,1,1,69.65,8.7
1,1,10,0.49,18,7,94.13,2.52
1,1,11,0.4,16,3,116.87,6.51
1,1,12,0.46,2,4,132.88,5.72
1,1,13,0.41,6,13,103.1,2.27
1,1,14,0.33,20,2,127.71,1.86
1,1,15,0.7,10,6,108.39,5.53
1,1,16,0.6,3,11,74.13,7.39
1,1,17,0.74,15,7,133.49,6.46
1,1,18,0.13,14,12,132.37,4.05
1,1,19,0.96,11,16,87.78,9.04
1,1,20,0.35,3,13,88.22,8.65
1,1,21,0.62,11,20,146.8,2.43
1,1,22,0.69,8,1,111.34,3.39
1,1,23,0.44,19,6,79.34,4.89
1,1,24,0.34,20,2,61.82,6.85
1,1,25,0.34,19,17,85.27,9.55
1,1,26,0.28,5,11,139.35,5.41
1,1,27,0.5,12,19,127.91,7.21
1,1,28,0.2,14,6,62.28,8.34
1,1,29,0.47,20,14,135.82,6.82
1,1,30,0.22,14,12,107.17,6.48
1,1,31,0.64,4,14,72.45,5.88
1,1,32,0.17,15,18,120.87,7.56
1,1,33,0.11,14,13,114.99,5.05
1,1,34,0.58,17,20,50.28,1.82
1,1,35,0.79,20,13,61.5,7.53
1,1,36,0.5,5,16,141.12,7.33
1,1,37,0.53,12,10,109.78,7.43
1,1,38,0.53,16,1,95.74,7.96
1,1,39,0.97,9,16,62.77,1.35
1,1,40,0.98,16,3,60.63,3.67
1,1,41,0.9,18,6,79.94,1.03
1,1,42,0.13,12,1,69.73,3.97
1,1,43,0.33,8,7,101.87,7.67
1,1,44,0.57,17,3,111.01,9.36
1,1,45,0.37,11,5,88.35,3.69
1,1,46,0.14,18,19,69.71,4.2
1,1,47,0.46,5,12,128.33,6.66
1,1,48,0.96,8,9,133.06,4.13
1,1,49,0.3,15,18,146.48,8.7
1,1,50,0.19,14,3,132.09,6.55
1,1,51,0.6,3,4,81.38,8.56
1,1,52,0.77,4,15,71.33,2.81
1,1,53,0.65,18,4,73.19,7.5
1,1,54,0.86,17,19,101.75,6.06
1,1,55,0.73,1,18,67.29,9.88
1,1,56,0.66,5,9,90.99,8.71
