race_id,lap_number,track_temperature,ambient_air_temperature,barometric_pressure,humidity
1,1,35.08,4.21,969.91,68.02
1,2,10.0,12.08,1042.6,33.5
1,3,19.47,7.46,1007.54,36.92
1,4,14.4,10.32,974.37,97.82
1,5,24.4,25.01,979.67,89.58
1,6,37.46,3.53,1047.16,44.66
1,7,16.98,20.46,984.45,95.94
1,8,10.4,15.67,972.5,68.32
1,9,4.87,22.01,999.33,99.97
1,10,24.89,21.37,1036.52,44.59
1,11,30.51,33.13,969.33,70.8
1,12,3.89,25.63,997.48,75.84
1,13,32.83,12.34,1046.19,38.16
1,14,0.19,37.09,1030.38,46.75
1,15,17.65,7.06,999.48,43.52
1,16,7.2,7.43,1038.49,58.22
1,17,26.18,26.23,972.72,92.96
1,18,7.52,22.19,957.25,82.91
1,19,2.02,15.36,1012.37,94.34
1,20,0.83,34.87,1044.09,52.86
1,21,35.76,33.83,1013.21,76.25
1,22,33.92,31.51,951.99,94.97
1,23,8.18,8.4,1024.32,37.82
1,24,3.49,24.79,1000.79,46.84
1,25,36.96,26.9,985.57,86.74
1,26,38.67,10.65,958.49,52.73
1,27,31.82,26.01,1009.79,96.25
1,28,16.41,30.14,1004.8,37.35
1,29,11.65,8.77,956.27,52.12
1,30,25.64,38.54,1044.16,88.43
1,31,1.26,32.82,1020.14,100.0
1,32,7.56,25.2,1024.01,72.78
1,33,11.47,24.52,987.71,55.7
1,34,17.07,21.64,1003.35,77.95
1,35,29.41,24.08,1021.42,94.36
1,36,37.33,8.79,1031.44,72.65
1,37,13.63,0.81,967.32,56.81
1,38,22.07,31.81,1013.6,85.63
1,39,25.59,12.03,979.41,86.67
1,40,39.45,18.97,1036.48,64.2
1,41,30.62,34.93,1035.75,80.72
1,42,33.24,31.9,976.27,90.56
1,43,25.71,0.22,1044.63,57.49
1,44,14.36,21.0,988.37,71.35
1,45,24.49,35.79,956.52,60.7
1,46,14.85,10.02,1033.33,34.87
1,47,6.1,11.28,975.84,72.05
1,48,24.96,34.27,1001.21,96.95
1,49,0.46,39.63,1028.07,33.82
1,50,7.97,31.57,971.54,65.9
1,51,19.41,26.55,981.25,40.14
1,52,23.69,8.11,989.65,70.29
1,53,9.68,8.0,958.76,60.12
1,54,15.62,18.39,1042.7,84.47
1,55,7.49,6.24,982.01,42.15
1,56,25.78,21.31,968.49,67.3
1,57,37.07,26.24,977.69,93.68
1,58,21.14,5.03,982.81,52.36
1,59,6.84,30.26,979.45,84.16
1,60,27.31,23.37,1006.0,86.02
