race_id,driver_id,lap_number,fuel_in_tank,fuel_pressure,fuel_consumption_rate
1,1,1,43.51,80.88,1.8
1,1,2,10.77,71.39,2.83
1,1,3,35.7,53.29,2.8
1,1,4,36.62,80.17,1.0
1,1,5,3.84,69.56,1.27
1,1,6,28.29,69.03,1.92
1,1,7,27.86,96.24,1.96
1,1,8,49.57,78.44,2.65
1,1,9,44.4,58.15,4.64
1,1,10,19.15,99.09,1.12
1,1,11,16.88,63.38,4.85
1,1,12,9.53,78.38,2.63
1,1,13,26.05,71.39,3.16
1,1,14,41.66,94.5,2.55
1,1,15,4.7,70.84,1.8
1,1,16,8.29,73.02,1.82
1,1,17,19.35,99.01,1.74
1,1,18,34.71,80.21,2.29
1,1,19,6.25,60.8,3.81
1,1,20,22.54,64.93,2.36
1,1,21,46.04,76.7,4.66
1,1,22,35.98,76.26,4.16
1,1,23,27.42,77.26,1.21
1,1,24,17.3,56.84,1.79
1,1,25,8.89,62.07,3.73
1,1,26,22.93,53.51,2.25
1,1,27,28.17,72.4,1.09
1,1,28,19.82,66.56,3.79
1,1,29,25.91,50.44,3.89
1,1,30,46.97,80.35,3.78
1,1,31,28.82,75.22,3.26
1,1,32,17.66,96.86,4.02
1,1,33,16.63,95.2,2.2
1,1,34,13.51,94.46,1.08
1,1,35,49.01,76.36,4.01
1,1,36,52.04,78.99,3.35
1,1,37,28.12,95.18,4.99
1,1,38,7.55,78.9,1.14
1,1,39,4.03,58.14,1.83
1,1,40,48.11,59.92,3.62
1,1,41,57.15,78.71,1.45
1,1,42,26.34,73.23,3.47
1,1,43,43.61,58.3,3.36
1,1,44,43.12,93.32,1.66
1,1,45,21.47,77.41,2.31
1,1,46,40.37,99.29,4.02
1,1,47,10.26,74.66,3.45
1,1,48,54.17,94.02,2.7
1,1,49,58.56,89.71,4.4
1,1,50,47.1,81.08,1.67
1,1,51,24.26,83.36,1.88
1,1,52,29.28,92.61,3.99
1,1,53,57.89,60.91,3.72
1,1,54,54.16,85.71,1.17
1,1,55,5.1,52.86,2.95
1,1,56,48.24,94.63,4.53
1,1,57,13.95,65.32,4.1
1,1,58,33.69,64.94,4.48
1,1,59,57.15,80.63,2.79
1,1,60,23.94,67.03,3.47
1,1,61,19.93,74.65,4.58
1,1,62,0.81,69.45,4.76
1,1,63,57.85,76.58,1.11
1,1,64,11.91,50.14,1.57
1,1,65,33.62,65.88,4.75
1,1,66,11.76,50.9,4.85
1,1,67,12.33,61.27,4.99
1,1,68,44.97,81.93,1.83
1,1,69,6.56,98.02,2.96
1,1,70,36.7,71.71,4.6
1,2,1,48.64,80.39,4.7
1,2,2,33.04,89.18,3.66
1,2,3,8.9,62.08,3.34
1,2,4,13.16,52.19,4.17
1,2,5,2.7,74.05,2.87
1,2,6,25.18,80.74,4.73
1,2,7,56.49,87.93,3.99
1,2,8,4.43,81.67,4.09
1,2,9,25.09,75.66,1.68
1,2,10,33.46,69.42,4.5
1,2,11,0.81,77.85,1.2
1,2,12,17.06,73.94,3.07
