race_id,driver_id,lap_number,tyre_surface_temperature0,tyre_surface_temperature1,tyre_surface_temperature2,tyre_surface_temperature3,tyre_inner_temperature0,tyre_inner_temperature1,tyre_inner_temperature2,tyre_inner_temperature3
1,1,1,138.56,39.87,158.81,87.71,25.69,58.29,38.39,85.25
1,1,2,26.04,82.62,82.35,107.06,87.25,83.89,33.91,73.41
1,1,3,75.0,80.09,45.96,33.19,25.27,43.59,92.58,55.14
1,1,4,91.51,69.24,93.93,51.19,107.54,98.94,72.96,87.06
1,1,5,156.13,107.33,30.61,50.79,48.81,94.11,46.1,56.29
1,1,6,96.46,82.61,107.49,55.17,94.24,23.74,26.36,72.0
1,1,7,93.47,61.82,110.5,127.1,44.92,28.99,66.44,68.26
1,1,8,22.84,32.73,64.64,98.71,92.59,92.51,74.68,86.68
1,1,9,25.17,127.12,36.46,47.65,31.54,25.38,59.68,24.95
1,1,10,80.23,131.72,99.25,111.77,59.72,61.22,58.95,96.34
1,1,11,120.96,45.59,105.44,98.57,107.29,38.95,77.41,87.92
1,1,12,99.38,31.31,141.06,134.22,31.76,26.42,74.44,93.63
1,1,13,138.81,113.77,22.63,27.03,38.11,95.88,42.8,103.05
1,1,14,26.18,82.58,79.14,123.42,44.61,47.59,98.22,84.75
1,1,15,86.36,60.75,26.6,73.54,34.98,80.2,70.43,84.69
1,1,16,70.44,77.6,91.86,107.59,36.41,60.67,95.84,32.59
1,1,17,137.07,87.82,64.95,156.99,72.37,64.5,105.42,31.87
1,1,18,77.36,126.58,116.43,53.53,42.18,33.05,93.87,87.95
1,1,19,23.13,76.87,155.14,121.9,29.09,20.95,91.22,108.26
1,1,20,137.99,128.44,135.97,113.03,99.95,62.81,96.05,70.01
1,1,21,95.14,101.34,56.51,72.7,104.12,25.74,56.54,42.48
1,1,22,90.22,86.24,45.75,25.92,66.92,47.72,30.6,31.12
1,1,23,48.61,131.27,74.9,29.39,70.82,96.6,94.66,39.58
1,1,24,111.26,39.67,152.7,89.51,22.36,46.0,57.75,69.59
1,1,25,138.97,34.97,75.44,91.91,91.21,35.02,57.74,102.43
1,1,26,43.57,91.35,138.75,55.15,53.71,26.55,86.16,49.83
1,1,27,153.92,37.94,63.01,95.09,68.52,76.62,86.8,64.8
1,1,28,77.26,25.65,59.8,134.24,91.86,105.16,63.64,91.56
1,1,29,23.34,60.49,150.75,151.23,25.85,67.21,42.25,109.72
1,1,30,36.66,66.07,69.2,80.05,28.39,75.65,49.63,98.48
1,1,31,129.47,69.34,27.5,116.75,86.42,64.8,69.78,55.12
1,1,32,93.14,122.03,47.51,148.34,92.91,91.36,56.98,108.03
1,1,33,141.12,66.49,122.17,30.43,37.34,89.29,45.45,57.56
1,1,34,21.84,40.77,82.51,25.27,83.11,73.09,33.15,67.59
1,1,35,126.37,47.7,99.36,55.62,61.74,32.73,51.4,31.72
1,1,36,51.49,21.09,41.04,45.0,87.11,92.18,25.85,20.23
1,1,37,136.4,74.92,37.89,101.51,86.41,38.98,102.64,33.15
1,1,38,118.99,77.76,57.69,42.25,60.01,68.93,99.31,22.69
1,1,39,106.38,29.15,25.34,83.57,104.92,53.44,95.26,32.8
1,1,40,106.4,46.63,53.07,84.73,30.78,27.09,67.49,95.48
1,1,41,69.98,74.33,120.86,62.97,40.88,86.8,88.88,84.36
1,1,42,144.49,159.33,53.23,20.04,31.52,55.04,70.26,26.15
1,1,43,40.55,159.5,71.97,131.88,35.21,34.42,87.9,66.03
1,1,44,51.25,25.41,25.04,43.05,74.79,63.63,35.97,25.13
1,1,45,123.69,99.96,148.64,103.21,64.34,53.99,32.96,95.97
1,1,46,26.36,26.55,50.57,99.0,56.71,22.82,61.42,75.86
1,1,47,152.82,156.04,142.25,36.32,22.86,53.8,74.71,29.69
1,1,48,32.0,35.47,41.21,103.21,106.39,34.84,34.47,65.19
1,1,49,48.07,36.83,77.09,83.35,55.68,95.91,59.63,104.45
1,1,50,67.47,71.09,56.72,27.56,26.63,50.35,107.68,43.75
1,1,51,85.94,35.68,69.0,98.62,40.23,45.14,68.21,37.23
1,1,52,152.41,127.18,27.44,155.1,93.68,79.39,22.62,87.98
1,1,53,101.01,58.32,32.56,86.7,104.37,101.2,20.64,98.28
1,1,54,156.7,89.62,62.2,154.38,102.04,36.3,58.26,94.54
1,1,55,81.26,139.55,37.17,143.24,48.42,34.79,32.89,52.86
1,1,56,42.12,22.64,80.02,20.72,88.02,62.58,69.3,100.52
1,1,57,85.65,110.12,127.27,60.68,87.25,86.53,91.8,51.38
1,1,58,144.62,50.62,100.94,100.63,79.9,70.57,106.46,28.66
1,1,59,114.57,53.06,125.45,78.93,30.63,25.69,93.31,70.79
1,1,60,20.59,104.21,43.94,139.14,88.1,83.88,53.88,49.92
1,1,61,52.4,145.4,25.27,47.49,42.82,72.47,95.9,54.89
1,1,62,106.79,43.5,26.95,84.09,74.27,28.69,58.13,68.62
1,1,63,62.3,56.47,147.08,21.02,86.04,53.71,93.22,29.17
1,1,64,55.54,33.09,108.82,144.85,106.87,20.29,89.66,60.03
1,1,65,136.54,125.64,139.71,98.19,101.57,40.84,95.22,37.04
1,1,66,145.84,32.87,83.77,130.86,88.79,44.82,33.06,74.81
1,1,67,34.25,47.82,130.07,83.7,79.8,43.18,95.37,99.57
1,1,68,89.68,91.57,107.94,21.3,95.64,99.19,51.09,86.99
1,1,69,119.61,27.0,43.13,137.04,88.36,28.55,25.86,93.78
1,1,70,91.16,97.28,151.36,158.95,89.54,89.56,102.43,103.46
1,2,1,22.62,156.6,108.69,44.84,90.11,81.3,42.24,49.48
1,2,2,22.0,142.67,122.61,29.23,30.07,104.29,101.03,75.87
1,2,3,120.07,107.85,71.7,153.54,29.24,34.34,35.45,29.4
1,2,4,33.51,89.49,77.24,121.11,58.24,49.77,78.63,44.59
1,2,5,96.4,90.17,135.67,156.27,55.56,85.23,71.94,41.62
1,2,6,123.68,99.88,40.66,149.73,28.02,43.82,31.77,82.31
1,2,7,41.06,108.05,96.62,122.16,70.31,89.7,56.2,25.26
1,2,8,110.83,49.61,128.62,79.81,38.39,58.51,108.93,53.23
1,2,9,113.64,55.23,75.64,95.65,55.38,106.87,101.13,38.9
1,2,10,146.37,64.17,155.51,116.55,98.51,55.42,57.66,60.13
1,2,11,125.35,60.94,80.8,34.96,90.68,101.58,52.39,70.49
1,2,12,54.62,53.37,23.04,32.56,36.68,26.93,95.42,22.49
1,2,13,54.18,123.0,126.91,57.67,44.92,28.63,99.12,74.02
1,2,14,49.75,47.22,51.08,46.94,23.97,65.21,97.19,103.91
1,2,15,20.85,86.2,87.87,124.73,59.73,100.47,71.31,24.31
1,2,16,143.27,152.42,112.64,61.13,41.99,104.51,39.26,25.05
1,2,17,66.83,86.36,91.03,134.18,73.77,54.94,80.29,57.94
1,2,18,132.35,40.71,40.72,62.63,88.67,105.57,86.39,64.42
1,2,19,140.21,124.54,76.95,149.5,61.82,48.96,36.42,71.82
1,2,20,85.15,62.17,119.78,64.27,58.17,49.97,67.7,107.71
1,2,21,21.06,139.01,88.86,84.87,51.94,24.92,103.93,33.98
1,2,22,64.16,35.18,57.31,57.7,45.24,62.97,52.05,108.37
1,2,23,94.66,120.43,117.63,37.65,71.97,58.41,108.82,50.0
1,2,24,119.62,31.2,55.15,126.05,97.09,107.0,107.18,65.46
1,2,25,46.6,130.45,120.16,129.53,104.36,30.32,51.4,35.44
1,2,26,61.58,138.49,140.28,80.34,47.57,57.7,73.02,50.69
1,2,27,73.31,119.25,92.43,101.37,27.33,85.13,59.64,49.42
1,2,28,46.88,60.39,144.69,122.06,50.88,54.92,76.62,65.46
1,2,29,95.91,88.4,99.86,49.52,48.51,103.15,66.19,65.42
1,2,30,33.56,126.24,45.18,141.87,25.4,85.06,73.28,98.0
1,2,31,130.43,114.46,61.43,131.72,79.4,49.04,33.86,53.22
1,2,32,127.14,103.49,117.81,125.36,98.46,58.63,92.35,93.39
1,2,33,54.84,157.96,118.01,111.27,109.23,51.88,86.18,86.1
1,2,34,20.45,132.01,151.65,120.58,27.2,55.05,43.99,105.83
1,2,35,95.62,118.43,35.68,113.69,65.16,83.89,46.26,60.81
1,2,36,59.97,109.8,61.42,47.73,30.77,69.99,31.8,26.55
1,2,37,147.43,86.75,55.29,26.55,59.19,32.94,47.13,73.22
1,2,38,41.79,88.74,126.58,121.68,92.24,105.19,22.29,106.13
1,2,39,48.84,142.08,34.23,113.6,79.96,52.09,42.12,97.35
1,2,40,81.4,139.62,75.82,117.96,63.82,78.79,44.19,24.92
1,2,41,155.12,150.24,44.82,49.95,45.24,39.19,81.1,64.94
1,2,42,105.9,71.64,151.31,84.99,27.8,35.89,33.55,95.01
1,2,43,151.62,71.54,86.45,32.41,21.25,50.9,93.04,106.83
1,2,44,108.82,61.61,99.91,71.49,81.55,34.28,92.28,68.88
1,2,45,52.61,53.85,125.48,141.02,62.18,63.56,79.55,62.63
1,2,46,158.3,151.43,150.29,105.96,101.39,28.29,62.79,66.62
1,2,47,72.99,28.97,82.06,139.44,61.74,28.63,22.35,96.51
1,2,48,150.52,102.44,109.26,151.68,83.41,79.34,94.82,54.5
1,2,49,72.84,104.84,106.11,147.76,97.14,59.98,79.84,109.23
1,2,50,36.05,32.21,80.28,59.94,104.37,33.12,66.52,91.17
1,2,51,91.56,50.54,32.67,118.6,83.44,96.97,59.77,63.63
1,2,52,104.09,52.02,111.36,46.61,82.51,81.1,80.07,26.99
1,2,53,131.11,146.34,58.51,108.52,41.98,104.21,48.56,81.03
1,2,54,125.97,139.78,75.34,38.76,57.58,81.41,89.67,61.93
1,2,55,20.93,141.01,50.04,52.7,46.92,41.13,79.45,79.77
1,2,56,91.02,23.38,158.99,59.53,62.28,24.4,30.21,37.46
1,2,57,105.82,144.66,102.36,96.94,86.48,92.22,27.93,67.01
1,2,58,122.76,157.73,105.28,48.62,82.77,65.71,48.03,20.91
1,2,59,104.4,158.47,114.78,123.95,59.74,60.21,33.11,66.75
1,2,60,123.23,100.34,120.19,83.17,93.4,58.28,89.17,102.27
1,2,61,79.39,101.67,79.51,152.11,52.12,71.8,104.05,24.79
1,2,62,63.75,107.2,90.21,27.78,80.98,88.52,45.97,66.86
1,2,63,52.41,33.31,33.55,69.57,90.01,106.41,48.44,42.69
1,2,64,85.98,107.76,138.83,53.83,44.4,48.83,55.35,49.36
1,2,65,121.32,86.76,51.08,59.05,22.79,72.17,68.21,91.1
1,2,66,149.57,126.29,122.58,22.7,65.97,28.98,23.79,39.95
1,2,67,113.14,61.81,125.53,101.47,105.57,80.45,25.67,50.66
1,2,68,60.54,34.61,148.79,123.0,109.83,37.14,52.54,89.58
1,2,69,84.22,46.11,70.47,150.64,65.51,29.77,100.9,101.69
1,2,70,46.24,134.97,83.71,84.7,31.18,78.82,58.1,44.4
1,3,1,100.17,82.41,80.64,138.2,34.78,33.09,30.78,64.16
1,3,2,152.56,66.07,73.47,154.66,107.58,26.08,70.35,108.05
1,3,3,94.94,124.57,88.18,141.2,103.31,54.73,53.13,104.66
1,3,4,117.32,65.83,113.75,126.29,80.88,21.41,88.75,102.78
1,3,5,77.48,92.73,114.23,28.35,43.61,78.03,69.73,52.43
1,3,6,67.62,21.16,63.93,130.89,45.87,28.88,85.4,91.02
1,3,7,51.04,133.92,67.74,80.43,83.58,63.14,60.97,55.86
1,3,8,29.54,152.52,96.55,139.35,71.48,30.2,72.88,77.8
1,3,9,64.03,144.42,98.74,73.37,92.86,20.3,99.86,44.25
1,3,10,80.05,36.21,60.04,90.13,95.42,78.21,31.79,109.31
1,3,11,46.67,151.66,55.13,153.76,32.99,99.98,109.17,109.14
1,3,12,110.19,47.77,84.51,30.99,107.47,75.57,79.54,60.16
1,3,13,36.83,47.23,64.09,20.08,21.69,37.64,100.48,67.72
1,3,14,100.34,139.09,84.83,48.42,33.59,49.14,71.0,104.86
