race_id,driver_id,lap_number,gear_position,brake_pressure,engine_temperature,oil_temperature,steering_angle
1,1,1,7,51.28,117.69,104.66,-95.31
1,1,2,6,3.31,110.61,115.71,93.35
1,1,3,1,82.34,72.6,100.74,-6.43
1,1,4,3,75.09,85.02,78.78,-90.72
1,1,5,4,21.04,96.63,81.49,124.88
1,1,6,7,11.25,86.91,95.23,54.31
1,1,7,6,45.59,102.78,75.08,-168.04
1,1,8,5,91.92,80.38,75.66,101.16
1,1,9,3,22.82,102.29,106.4,-153.18
1,1,10,7,40.31,87.44,115.79,-96.64
1,1,11,1,74.38,86.89,119.78,-166.9
1,1,12,1,29.06,107.13,72.96,73.33
1,1,13,1,15.36,109.66,117.22,-68.95
1,1,14,7,78.06,115.37,106.04,-18.57
1,1,15,8,38.21,80.26,72.94,-50.6
1,1,16,2,2.6,119.21,93.65,-39.25
1,1,17,8,46.71,80.93,115.76,-129.86
1,1,18,5,7.24,106.69,118.86,-74.03
1,1,19,3,40.19,95.65,83.26,30.55
1,1,20,1,92.0,84.12,78.48,-61.64
1,1,21,1,36.21,101.28,109.31,32.76
1,1,22,4,67.41,98.01,111.85,-143.71
1,1,23,5,57.51,72.14,103.78,13.36
1,1,24,4,57.43,107.48,93.15,98.76
1,1,25,8,94.85,93.08,84.1,67.12
1,1,26,7,54.71,116.35,106.48,-30.65
1,1,27,8,70.48,90.84,84.43,153.32
1,1,28,1,45.29,71.42,73.34,-166.16
1,1,29,5,3.34,116.31,103.23,4.15
1,1,30,1,54.6,91.38,93.23,-123.73
1,1,31,7,30.99,116.38,113.71,-36.59
1,1,32,8,22.58,88.08,88.39,94.46
1,1,33,7,6.64,117.41,73.62,-65.16
1,1,34,8,0.77,76.55,83.72,95.23
1,1,35,3,43.25,110.76,99.8,29.71
1,1,36,6,59.59,117.03,107.43,-37.04
1,1,37,7,20.01,96.98,95.05,-168.27
1,1,38,8,47.57,82.57,84.35,51.32
1,1,39,2,50.78,85.96,83.19,-98.43
1,1,40,2,37.42,102.77,79.81,-11.29
1,1,41,8,74.49,90.53,86.39,126.51
1,1,42,7,8.84,109.45,108.31,153.0
1,1,43,6,18.4,117.08,81.94,143.91
1,1,44,3,26.66,97.48,119.79,92.98
1,1,45,6,36.12,95.28,118.55,3.86
1,1,46,3,80.72,98.13,78.99,115.35
1,1,47,3,77.83,113.09,104.94,111.99
1,1,48,8,26.09,109.38,119.48,-112.29
1,1,49,1,14.45,90.53,112.16,92.8
1,1,50,4,1.35,118.96,83.09,46.74
1,1,51,6,83.75,81.84,115.92,-136.72
1,1,52,7,62.59,95.79,102.81,-16.46
1,1,53,8,90.73,97.28,71.63,-7.96
1,1,54,3,47.39,111.79,83.36,-28.89
1,1,55,4,98.4,83.64,110.31,-128.26
1,1,56,4,88.69,105.37,97.11,87.7
1,1,57,8,53.49,117.75,85.66,177.73
1,1,58,5,62.81,93.3,105.19,174.6
1,1,59,5,10.04,83.88,99.55,107.77
1,1,60,6,84.62,98.13,99.94,-21.2
1,1,61,1,81.92,75.36,82.62,108.21
1,1,62,1,94.57,119.18,71.63,-120.52
1,1,63,3,3.71,85.72,116.79,21.04
1,1,64,8,46.99,109.67,99.13,-54.38
1,1,65,8,45.42,117.52,90.22,-116.33
1,1,66,8,43.24,96.03,104.83,48.42
1,1,67,3,50.25,72.46,117.75,-111.12
1,1,68,5,4.43,118.19,85.19,-29.37
1,1,69,2,31.85,102.06,97.19,44.43
1,1,70,4,85.61,103.18,100.01,149.7
1,2,1,1,34.8,111.38,72.8,-129.93
1,2,2,6,39.92,111.28,75.25,-75.13
1,2,3,3,97.45,116.77,105.69,-29.38
1,2,4,8,46.14,72.88,97.48,98.08
1,2,5,8,37.7,81.01,102.32,73.83
1,2,6,1,53.16,92.99,74.0,-30.97
1,2,7,1,91.11,110.44,76.93,-47.2
1,2,8,5,3.46,106.49,114.9,-10.94
1,2,9,2,72.34,87.34,111.76,128.9
1,2,10,7,90.92,101.51,93.54,37.21
1,2,11,8,6.53,103.35,96.16,-108.85
1,2,12,3,99.75,72.65,107.65,108.09
1,2,13,5,61.67,104.44,92.75,163.21
1,2,14,8,54.82,70.89,97.33,-23.41
1,2,15,1,42.89,70.24,80.32,-80.33
1,2,16,6,67.38,112.97,117.37,42.8
1,2,17,2,38.36,83.35,80.56,8.42
1,2,18,5,45.69,116.92,76.93,179.12
1,2,19,7,23.3,103.12,75.02,-79.95
1,2,20,1,34.32,102.68,111.82,80.9
1,2,21,1,55.31,101.24,70.79,-170.91
1,2,22,6,20.25,83.55,86.49,106.39
1,2,23,4,59.03,88.38,119.75,167.81
1,2,24,1,46.53,70.83,116.26,-148.75
1,2,25,4,30.87,76.37,76.39,58.13
1,2,26,3,21.21,83.57,106.19,-145.8
1,2,27,4,41.14,78.43,75.39,143.89
1,2,28,6,29.66,89.32,85.97,-14.7
1,2,29,2,30.06,117.37,105.84,-173.87
1,2,30,7,26.65,103.21,81.99,8.7
1,2,31,2,58.8,113.39,108.8,-33.49
1,2,32,2,13.89,96.23,99.17,41.12
1,2,33,8,87.12,111.09,99.4,-131.45
1,2,34,4,19.63,107.37,108.52,-59.95
1,2,35,4,74.39,116.24,77.59,161.79
1,2,36,5,57.7,95.95,77.15,103.22
1,2,37,6,54.14,75.97,95.98,-99.52
1,2,38,8,87.2,90.63,94.75,-40.4
1,2,39,6,33.08,72.33,81.2,26.52
1,2,40,8,67.93,70.75,71.69,34.49
1,2,41,7,11.51,85.62,96.37,143.94
1,2,42,5,80.21,84.72,106.64,-8.8
1,2,43,6,47.0,111.32,115.16,113.24
1,2,44,3,81.9,101.99,79.93,-124.33
1,2,45,7,18.52,71.03,112.35,-7.94
1,2,46,8,84.77,102.23,70.6,161.22
1,2,47,3,29.62,70.37,86.09,-143.91
1,2,48,2,79.58,113.33,86.22,26.54
1,2,49,8,49.26,112.31,70.36,-102.65
1,2,50,2,71.27,77.45,101.3,174.57
1,2,51,2,68.14,93.11,99.9,-103.93
1,2,52,8,85.22,71.12,111.53,-137.54
1,2,53,5,59.73,113.63,89.18,122.98
1,2,54,6,95.62,91.04,78.55,71.33
1,2,55,4,71.76,72.9,77.45,131.26
1,2,56,4,15.65,116.08,84.43,154.44
1,2,57,5,26.6,72.8,71.6,162.94
1,2,58,4,61.6,71.1,75.2,-36.81
1,2,59,8,1.66,96.39,79.02,-152.04
1,2,60,8,37.49,86.09,95.75,68.65
1,2,61,8,45.56,77.89,113.44,54.66
1,2,62,2,97.49,100.14,79.58,-75.83
1,2,63,7,38.85,115.48,77.78,-161.78
1,2,64,3,80.47,76.47,89.03,52.3
1,2,65,8,12.67,105.56,96.06,-143.23
1,2,66,8,20.14,75.33,71.46,30.26
1,2,67,8,2.6,77.31,82.12,26.79
1,2,68,2,72.83,92.95,90.64,-96.91
1,2,69,8,29.51,74.1,90.12,156.72
1,2,70,1,46.91,80.36,78.9,-1.42
1,3,1,2,49.72,110.15,97.23,118.67
1,3,2,3,85.69,109.4,82.47,-97.72
1,3,3,1,51.51,96.1,99.11,-24.94
1,3,4,4,30.92,100.04,115.94,122.29
1,3,5,4,99.94,96.42,85.79,52.62
1,3,6,5,8.32,110.45,76.86,87.16
1,3,7,8,92.71,107.74,77.03,172.03
1,3,8,5,99.06,102.32,75.48,-0.33
1,3,9,5,82.91,93.49,99.91,161.31
1,3,10,3,56.62,75.0,109.99,117.98
1,3,11,7,76.6,94.01,116.2,-103.13
1,3,12,4,93.82,76.56,108.12,-84.04
1,3,13,1,32.91,70.88,84.73,87.16
1,3,14,8,60.02,103.33,73.18,148.83
1,3,15,7,17.32,118.15,100.15,47.32
1,3,16,8,13.12,89.84,94.4,123.72
1,3,17,3,84.39,92.01,78.42,-9.56
1,3,18,3,40.09,117.05,85.09,107.19
1,3,19,1,42.8,100.47,78.15,52.99
1,3,20,4,79.77,93.54,73.31,33.92
1,3,21,2,65.86,103.29,108.55,65.5
1,3,22,5,63.35,90.52,106.27,52.81
1,3,23,6,83.03,105.1,95.79,117.51
1,3,24,3,99.58,72.27,109.09,-113.57
1,3,25,7,22.0,113.8,102.5,54.97
1,3,26,1,74.59,86.39,117.44,-155.55
1,3,27,2,96.24,102.32,97.68,100.75
1,3,28,5,37.64,107.16,115.98,70.96
1,3,29,2,7.22,104.94,106.42,-105.31
1,3,30,1,48.33,71.13,73.09,-105.82
1,3,31,1,15.67,89.25,116.71,-17.39
1,3,32,5,70.3,91.54,117.93,139.7
1,3,33,8,95.72,92.86,105.43,-8.63
1,3,34,3,40.03,84.6,82.75,53.94
1,3,35,1,9.84,87.72,91.68,38.44
1,3,36,1,12.23,115.55,105.75,-26.27
1,3,37,1,49.1,106.87,91.04,80.76
1,3,38,6,45.16,95.67,73.4,148.49
1,3,39,6,40.07,74.5,100.17,-148.25
1,3,40,8,55.74,80.23,102.24,76.92
1,3,41,6,68.98,81.82,87.62,145.63
1,3,42,5,22.56,89.66,88.52,8.51
1,3,43,8,2.21,86.32,78.73,-26.05
1,3,44,1,31.76,72.13,100.73,106.84
1,3,45,1,57.78,89.03,100.17,-134.42
1,3,46,3,96.9,93.21,113.66,-56.79
1,3,47,3,0.61,103.98,70.84,108.52
1,3,48,6,47.26,105.12,86.31,-25.78
1,3,49,6,29.63,91.99,80.92,79.5
1,3,50,7,10.9,102.18,94.4,-35.73
