race_id,driver_id,lap_number,wheel_speed0,wheel_speed1,wheel_speed2,wheel_speed3,wheel_slip0,wheel_slip1,wheel_slip2,wheel_slip3
1,1,1,292.73,283.79,152.32,277.43,-0.31,0.84,0.72,0.06
1,1,2,68.77,315.3,276.77,125.77,-0.3,0.15,-0.27,0.29
1,1,3,270.4,135.71,140.83,251.43,0.02,-0.75,0.53,0.08
1,1,4,248.87,346.45,217.47,337.2,-0.7,-0.97,-1.0,-0.72
1,1,5,120.42,86.74,140.51,338.55,0.02,-0.69,0.52,-0.87
1,1,6,108.0,133.6,108.35,132.35,0.23,-0.88,-0.17,0.41
1,1,7,95.32,136.34,64.97,120.89,-0.41,0.42,-0.27,-0.37
1,1,8,283.31,220.41,303.45,289.19,0.47,0.51,1.0,0.71
1,1,9,153.44,339.84,308.17,101.35,-0.5,-0.1,0.25,0.78
1,1,10,90.98,181.7,90.62,205.5,0.39,0.05,0.43,0.35
1,1,11,337.32,162.1,317.27,140.1,0.04,-0.7,0.57,0.9
1,1,12,288.27,281.93,216.62,98.52,-0.06,0.32,0.57,0.53
1,1,13,204.87,134.47,302.65,309.98,0.61,-0.42,-0.95,-0.65
1,1,14,347.86,311.81,183.61,300.92,0.86,0.7,-0.68,0.0
1,1,15,240.99,124.94,284.34,292.24,-0.11,-0.8,-0.57,-0.53
1,1,16,191.93,78.75,274.58,303.26,-0.2,0.66,-0.24,0.77
1,1,17,213.73,201.16,78.92,254.9,0.06,0.61,0.99,-0.18
1,1,18,50.71,149.01,196.11,281.54,0.5,-0.81,-0.91,0.45
1,1,19,136.21,73.92,101.51,271.35,0.92,-0.73,-0.09,0.25
1,1,20,167.81,344.85,126.56,66.68,0.66,0.4,0.24,0.73
1,1,21,271.4,212.77,287.87,88.26,-0.74,-0.04,-0.63,0.86
1,1,22,283.29,231.95,151.74,263.59,0.37,0.85,-0.08,0.31
1,1,23,247.67,305.12,200.7,299.25,0.08,0.25,-0.57,-0.87
1,1,24,276.78,263.01,296.22,246.37,-0.01,-0.97,-0.93,0.59
1,1,25,147.32,247.59,109.05,256.55,0.98,0.06,0.01,-0.99
1,1,26,138.26,293.81,121.14,230.73,0.07,-0.91,0.15,0.76
1,1,27,120.79,139.42,295.53,75.62,0.53,-0.08,-0.75,0.49
1,1,28,219.69,100.08,69.94,164.02,0.45,0.34,0.79,0.68
1,1,29,73.06,348.46,57.69,240.01,0.4,-0.76,-0.11,0.81
1,1,30,208.92,193.04,272.79,92.3,0.33,0.83,0.71,0.14
1,1,31,255.0,186.08,95.45,145.73,0.26,-0.71,0.29,-0.79
1,1,32,348.88,110.66,241.34,117.78,-0.55,0.76,-0.45,0.99
1,1,33,307.93,329.72,177.55,157.97,0.14,-0.2,-0.51,0.68
1,1,34,63.02,240.56,217.77,210.81,-0.99,0.72,-0.63,0.09
1,1,35,343.64,292.02,157.86,298.51,-0.93,-0.06,0.95,0.65
1,1,36,143.87,139.85,304.39,164.59,-0.56,-0.79,-0.59,0.3
1,1,37,55.18,146.37,329.8,232.68,-0.41,0.28,-0.28,-0.86
1,1,38,249.79,204.53,79.36,341.54,0.03,-0.37,0.96,0.95
1,1,39,295.41,210.75,69.6,207.01,-0.5,-0.84,-0.31,0.99
1,1,40,243.57,331.68,55.9,247.74,-0.79,-0.78,-0.3,-0.31
1,1,41,245.11,148.51,268.83,338.71,0.65,0.83,0.18,0.67
1,1,42,264.48,174.82,125.58,216.39,-0.08,0.21,-0.04,-0.12
1,1,43,76.19,72.73,236.6,304.5,-0.66,0.97,0.5,0.3
1,1,44,54.78,305.22,196.26,133.75,-0.04,0.26,0.73,0.69
1,1,45,95.93,89.21,201.29,233.17,0.07,-0.14,-0.23,-0.28
1,1,46,58.18,127.91,270.26,51.39,0.81,-0.31,-0.33,0.65
1,1,47,144.86,220.69,109.07,86.63,0.07,0.8,0.13,0.97
1,1,48,307.21,329.88,199.78,78.65,0.84,0.59,-0.78,0.63
